id,title,authors,year,categories,abstract,pdf_url,matched_terms,relevance_prob,query_type
2302.03362v2,Machine Learning Benchmarks for the Classification of Equivalent Circuit Models from Electrochemical Impedance Spectra,"Joachim Schaeffer, Paul Gasper, Esteban Garcia-Tamayo, Raymond Gasper, Masaki Adachi, Juan Pablo Gaviria-Cardona, Simon Montoya-Bedoya, Anoushka Bhutani, Andrew Schiek, Rhys Goodall, Rolf Findeisen, Richard D. Braatz, Simon Engelke",2023,"cs.LG, cond-mat.mtrl-sci","Analysis of Electrochemical Impedance Spectroscopy (EIS) data for electrochemical systems often consists of defining an Equivalent Circuit Model (ECM) using expert knowledge and then optimizing the model parameters to deconvolute various resistance, capacitive, inductive, or diffusion responses. For small data sets, this procedure can be conducted manually; however, it is not feasible to manually define a proper ECM for extensive data sets with a wide range of EIS responses. Automatic identification of an ECM would substantially accelerate the analysis of large sets of EIS data. We showcase machine learning methods to classify the ECMs of 9,300 impedance spectra provided by QuantumScape for the BatteryDEV hackathon. The best-performing approach is a gradient-boosted tree model utilizing a library to automatically generate features, followed by a random forest model using the raw spectral data. A convolutional neural network using boolean images of Nyquist representations is presented as an alternative, although it achieves a lower accuracy. We publish the data and open source the associated code. The approaches described in this article can serve as benchmarks for further studies. A key remaining challenge is the identifiability of the labels, underlined by the model performances and the comparison of misclassified spectra.",https://arxiv.org/pdf/2302.03362v2,"EIS, Electrochemical Impedance Spectroscopy, Impedance Spectra, Nyquist, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical system, Machine Learning, Neural Network, Random Forest, AI, convolutional neural network",73.45,
2510.09662v1,Assessment of different loss functions for fitting equivalent circuit models to electrochemical impedance spectroscopy data,"Ali Jaberi, Amin Sadeghi, Runze Zhang, Zhaoyang Zhao, Qiuyu Shi, Robert Black, Zoya Sadighi, Jason Hattrick-Simpers",2025,"cs.LG, cond-mat.mtrl-sci","Electrochemical impedance spectroscopy (EIS) data is typically modeled using an equivalent circuit model (ECM), with parameters obtained by minimizing a loss function via nonlinear least squares fitting. This paper introduces two new loss functions, log-B and log-BW, derived from the Bode representation of EIS. Using a large dataset of generated EIS data, the performance of proposed loss functions was evaluated alongside existing ones in terms of R2 scores, chi-squared, computational efficiency, and the mean absolute percentage error (MAPE) between the predicted component values and the original values. Statistical comparisons revealed that the choice of loss function impacts convergence, computational efficiency, quality of fit, and MAPE. Our analysis showed that X2 loss function (squared sum of residuals with proportional weighting) achieved the highest performance across multiple quality of fit metrics, making it the preferred choice when the quality of fit is the primary goal. On the other hand, log-B offered a slightly lower quality of fit while being approximately 1.4 times faster and producing lower MAPE for most circuit components, making log-B as a strong alternative. This is a critical factor for large-scale least squares fitting in data-driven applications, such as training machine learning models on extensive datasets or iterations.",https://arxiv.org/pdf/2510.09662v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, Machine Learning, Data-driven, AI",70.0,
2101.08049v3,Evaluating uncertainties in electrochemical impedance spectra of solid oxide fuel cells,"Luka Žnidarič, Gjorgji Nusev, Bertrand Morel, Julie Mougin, Đani Juričić, Pavle Boškoski",2021,"stat.CO, cs.LG, stat.AP, stat.ML","Electrochemical impedance spectroscopy (EIS) is a widely used tool for characterization of fuel cells and other electrochemical conversion systems. When applied to the on-line monitoring in the context of in-field applications, the disturbances, drifts and sensor noise may cause severe distortions in the evaluated spectra, especially in the low-frequency part. Failure to ignore the random effects can result in misinterpreted spectra and, consequently, in misleading diagnostic reasoning. This fact has not been often addressed in the research so far. In this paper, we propose an approach to the quantification of the spectral uncertainty, which relies on evaluating the uncertainty of the equivalent circuit model (ECM). We apply the computationally efficient variational Bayes (VB) method and compare the quality of the results with those obtained with the Markov chain Monte Carlo (MCMC) algorithm. Namely, MCMC algorithm returns accurate distributions of the estimated model parameters, while VB approach provides the approximate distributions. By using simulated and real data we show that approximate results provided by VB approach, although slightly over-optimistic, are still close to the more realistic MCMC estimates. A great advantage of the VB method for online monitoring is low computational load, which is several orders of magnitude lower compared to MCMC. The performance of VB algorithm is demonstrated on a case of ECM parameters estimation in a 6 cell solid oxide fuel cell (SOFC) stack. The complete numerical implementation for recreating the results can be found at https://repo.ijs.si/lznidaric/variational-bayes-supplementary-material.",https://arxiv.org/pdf/2101.08049v3,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, AI",62.26,
2211.16148v1,Implementation of Bounded Diffusion Impedance in a Model Pyeis to Correctly Simulate Flow Gradient on Channel-Electrode in Microfluidics,"Rassen Boukraa, Claire Poujouly, Pedro Gonzalez-Losada, Jean Gamby",2022,physics.chem-ph,"Here, we proposed to test the limits of the bounded diffusion impedance model by using electrochemical impedance spectroscopy (EIS) measurements in a microfluidic device architecture bearing a set of microelectrodes integrated in microchannel. This EIS Nyquist plot behaviour was currently modelled with the Randles equivalent circuit. In this work, one of the main advantages for using PyEIS (a Python-based Electrochemical Impedance Spectroscopy) software is being able to modify and correct the models with a simple implementation in the source code freely accessible on the website of the author Kristian B. Knudsen. The obtained results after implementing the diffusion-convective equation in the PyEIS code permits to adapt each function to be able to plot, simulate and fit a specific modified Randles for channel-electrode. The modified Randles was used for preliminary tests for optimization of the parameters of flow in the microfluidic channel by comparing the diffusion layer thickness as a function with the volumetric flow.",https://arxiv.org/pdf/2211.16148v1,"EIS, Electrochemical Impedance Spectroscopy, Nyquist, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, AI, DL",62.26,
1907.01802v1,Equivalent Circuit Model Recognition of Electrochemical Impedance Spectroscopy via Machine Learning,"Shan Zhu, Xinyang Sun, Yuxuan Wang, Naiqin Zhao, Junwei Sha",2019,"physics.data-an, physics.app-ph, physics.comp-ph","Electrochemical impedance spectroscopy (EIS) is an effective method for studying the electrochemical systems. The interpretation of EIS is the biggest challenge in this technology, which requires reasonable modeling. However, the modeling of EIS is of great subjectivity, meaning that there may be several models to fit the same set of data. In order to overcome the uncertainty and triviality of human analysis, this research uses machine learning to carry out EIS pattern recognition. Raw EIS data and their equivalent circuit models were collected from the literature, and the support vector machine (SVM) was used to analyze these data. As the result, we addresses the classification of EIS and recognizing their equivalent circuit models with accuracies of up to 78%. This study demonstrates the great potential of machine learning in electrochemical researches.",https://arxiv.org/pdf/1907.01802v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical system, Machine Learning, SVM, AI, classification",57.8,
2110.00551v1,A Minimal Physics-Based Model on the Electrochemical Impedance Spectroscopy of Solid-State Electrolyte,"Changyu Deng, Wei Lu",2021,"cond-mat.mtrl-sci, physics.app-ph","Solid state batteries have emerged as a potential next-generation energy storage device due to safety and energy density advantages. Development of electrolyte is one of the most important topics in solid state batteries. Electrochemical Impedance Spectroscopy (EIS) is a popular measurement technique to obtain the conductivity and diagnose the electrolyte. Current interpretation mainly uses the semicircle part of the curves and discards other information revealed by EIS such as the slope of the curve at low frequency. What is worse, some features on the curve are not fully interpreted. To better understand the transport mechanism and interpret EIS curves, we introduce a continuous model to quantify the ion transport and current flow in the electrolyte. The produced EIS curves from the model are compared with experiment data to show good agreement.",https://arxiv.org/pdf/2110.00551v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, AI",57.8,
2410.15271v1,Onboard Health Estimation using Distribution of Relaxation Times for Lithium-ion Batteries,"Muhammad Aadil Khan, Sai Thatipamula, Simona Onori",2024,cs.LG,"Real-life batteries tend to experience a range of operating conditions, and undergo degradation due to a combination of both calendar and cycling aging. Onboard health estimation models typically use cycling aging data only, and account for at most one operating condition e.g., temperature, which can limit the accuracy of the models for state-of-health (SOH) estimation. In this paper, we utilize electrochemical impedance spectroscopy (EIS) data from 5 calendar-aged and 17 cycling-aged cells to perform SOH estimation under various operating conditions. The EIS curves are deconvoluted using the distribution of relaxation times (DRT) technique to map them onto a function $\textbf{g}$ which consists of distinct timescales representing different resistances inside the cell. These DRT curves, $\textbf{g}$, are then used as inputs to a long short-term memory (LSTM)-based neural network model for SOH estimation. We validate the model performance by testing it on ten different test sets, and achieve an average RMSPE of 1.69% across these sets.",https://arxiv.org/pdf/2410.15271v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy, Neural Network, LSTM",57.8,
2209.08020v1,Ferroelectricity and resistive switching in BaTiO$_3$ thin films with liquid electrolyte top contact for bioelectronic devices,"Maximilian T. Becker, Poppy Oldroyd, Nives Strkalj, Moritz L. Müller, George G. Malliaras, Judith L. MacManus-Driscoll",2022,"physics.app-ph, cond-mat.mtrl-sci","We investigate ferroelectric- and resistive switching behavior in 18-nm-thick epitaxial BaTiO$_3$ (BTO) films in a model electrolyte-ferroelectric-semiconductor (EFS) configuration. The system is explored for its potential as a ferroelectric microelectrode in bioelectronics. The BTO films are grown by pulsed laser deposition (PLD) on semiconducting Nb-doped (0.5 wt\%) SrTiO$_{3}$ (Nb:STO) single crystal substrates. The ferroelectric properties of the bare BTO films are demonstrated by piezoresponse force microscopy (PFM) measurements. Cyclic voltammetry (CV) measurements in EFS configuration, with phosphate buffered saline (PBS) acting as the liquid electrolyte top contact, indicate characteristic ferroelectric switching peaks in the bipolar current-voltage loop. The ferroelectric nature of the observed switching peaks is confirmed by analyzing the current response of the EFS devices to unipolar voltage signals. Moreover, electrochemical impedance spectroscopy (EIS) measurements indicate bipolar resisitive switching behavior of the EFS devices, which is controlled by the remanent polarization state of the BTO layer. Our results represent a constitutive step towards the realization of neuroprosthetic implants and hybrid neurocomputational systems based on ferroelectric microelectrodes.",https://arxiv.org/pdf/2209.08020v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, electrochemical impedance, impedance spectroscopy",57.8,
1909.02327v1,Surface Reconstruction Limited Conductivity in Block-Copolymer Li Battery Electrolytes,"Preston Sutton, Peter Bennington, Shrayesh N. Patel, Morgan Stefik, Ulrich B. Wiesner, Paul F. Nealey, Ullrich Steiner, Ilja Gunkel",2019,"physics.app-ph, cond-mat.mtrl-sci","Solid polymer electrolytes for lithium batteries promise improvements in safety and energy density if their conductivity can be increased. Nanostructured block copolymer electrolytes specifically have the potential to provide both good ionic conductivity and good mechanical properties. This study shows that the previously neglected nanoscale composition of the polymer electrolyte close to the electrode surface has an important effect on impedance measurements, despite its negligible extent compared to the bulk electrolyte. Using standard stainless steel blocking electrodes, the impedance of lithium salt-doped poly(isoprene-b-styrene-b-ethylene oxide) (ISO) exhibited a marked decrease upon thermal processing of the electrolyte. In contrast, covering the electrode surface with a low molecular weight poly(ethylene oxide) (PEO) brush resulted in higher and more reproducible conductivity values, which were insensitive to the thermal history of the device. A qualitative model of this effect is based on the hypothesis that ISO surface reconstruction at the different electrode surfaces leads to a change in the electrostatic double layer, affecting electrochemical impedance spectroscopy measurements. As a main result, PEO-brush modification of electrode surfaces is beneficial for the robust electrolyte performance of PEO-containing block-copolymers and may be crucial for their accurate characterization and use in Li-ion batteries.",https://arxiv.org/pdf/1909.02327v1,"Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, impedance measurement, electrochemical impedance, impedance spectroscopy, AI",57.8,
2209.03961v1,Nonlinear electrochemical impedance spectroscopy for lithium-ion battery model parameterization,"T. L. Kirk, A. Lewis-Douglas, D. A. Howey, C. P. Please, S. J. Chapman",2022,physics.chem-ph,"In this work we analyse the local nonlinear electrochemical impedance spectroscopy (NLEIS) response of a lithium-ion battery and estimate model parameters from measured NLEIS data. The analysis assumes a single-particle model including nonlinear diffusion of lithium within the electrode particles and asymmetric charge transfer kinetics at their surface. Based on this model and assuming a moderately-small excitation amplitude, we systematically derive analytical formulae for the impedances up to the second harmonic response, allowing the meaningful interpretation of each contribution in terms of physical processes and nonlinearities in the model. The implications of this for parameterization are explored, including structural identifiability analysis and parameter estimation using maximum likelihood, with both synthetic and experimentally measured impedance data. Accurate fits to impedance data are possible, however inconsistencies in the fitted diffusion timescales suggest that a nonlinear diffusion model may not be appropriate for the cells considered. Model validation is also demonstrated by predicting time-domain voltage response using the parameterized model and this is shown to have excellent agreement with measured voltage time-series data (11.1 mV RMSE).",https://arxiv.org/pdf/2209.03961v1,"EIS, Electrochemical Impedance Spectroscopy, electrochemical impedance, impedance spectroscopy, impedance data, electrochemical impedance, impedance spectroscopy, AI",52.73,
